paradisaical: paradisiacal 
chaldee: leached 
chattered: ratcheted 
declaimer: reclaimed 
celandine: decennial 
celandines: decennials 
centralised: credentials 
credential: interlaced 
decimates: medicates 
decimate: medicate 
considerate: desecration 
pederastic: predicates 
underclasses: underclasses 
parceled: replaced 
cleared: declare 
declasse: descales 
amerced: creamed 
endurances: sunderance 
cantered: decanter recanted 
deprecator: procreated 
cratered: retraced terraced 
descartes: scaredest 
catered: created reacted 
decaf: faced 
archfiends: franchised 
identifications: identifications 
deifications: edifications 
deification: edification 
decafs: decafs 
cadge: caged 
decimating: medicating 
decigram: grimaced 
clanged: glanced 
congaed: decagon 
cadger: graced 
charmed: marched 
snatched: stanched 
staunched: unscathed 
crashed: schedar 
cashed: chased 
idealistic: italicised 
larvicide: veridical 
dominatrices: romanticised 
decimations: medications 
decimation: medication 
diametric: matricide 
actinide: indicate 
patricides: pediatrics 
patricide: pediatric 
decimally: medically 
claimed: decimal declaim medical 
decimals: declaims medicals 
candlepin: pinnacled 
consolidates: disconsolate 
citadels: dialects 
citadel: deltaic dialect 
comedian: daemonic demoniac 
dormancies: mordancies 
coordinates: decorations 
coordinate: decoration 
auctioned: cautioned education 
acrider: carried 
cardies: sidecar 
calked: lacked 
arcked: racked 
decal: laced 
collapsed: scalloped 
carolled: collared 
candle: lanced 
calends: candles 
copulated: outplaced 
clasped: scalped 
calder: cradle 
decals: scaled 
compadre: compared 
caromed: comrade 
camped: decamp 
acned: caned dance 
canoed: deacon 
crayoned: deaconry 
craned: dancer 
ascend: dances 
decants: descant scanted 
canted: decant 
costarred: redactors 
educator: outraced 
caped: paced 
carped: redcap 
redcaps: scarped scraped 
arced: cadre cared cedar raced 
carders: scarred 
cadres: cedars sacred scared 
carted: crated redact 
curated: decatur traduce 
carved: craved 
cased: daces 
caused: sauced 
acted: cadet 
discriminator: doctrinairism 
consolidations: disconsolation 
monadic: nomadic 
parodic: picador 
picadors: sporadic 
claud: ducal 
dormancy: mordancy 
candor: conrad dacron 
cads: scad 
mantelpieces: mantlepieces 
mantelpiece: mantlepiece 
faience: fiancee 
faiences: fiancees 
elegiacs: legacies 
categories: categorise 
charterers: recharters 
charterer: recharter 
research: searcher 
cheaters: hectares 
cheater: hectare reteach 
escheat: teaches 
peripatetics: precipitates 
peripatetic: precipitate 
crenelations: intolerances 
crenelation: intolerance 
narcolepsies: precessional 
larcenies: reliances 
centralise: interlaces 
imprecates: spermaceti 
nectarines: transience 
ancienter: nectarine 
conservatoires: conservatories 
conservatoire: overreactions 
ancestries: resistance 
cattinesses: tacitnesses 
careerist: traceries 
creative: reactive 
coeternal: tolerance 
carlene: cleaner 
cleaners: cleanser 
cleansers: clearness 
cerulean: laurence 
cleanse: scalene 
enclaves: valences 
enclave: valence 
escalope: opalesce 
casserole: escaroles 
percale: replace 
percales: replaces 
peculates: speculate 
clearest: treacles 
electra: treacle 
amerce: raceme 
creamers: screamer 
amerces: racemes 
provenances: provenances 
contravene: covenanter 
entrances: renascent 
recanter: recreant terrance 
encase: seance 
escape: peaces 
caterers: retraces terraces 
scatterer: streetcar 
caterer: retrace terrace 
exacter: excreta 
cafe: face 
verifications: versification 
fancies: fiances 
factories: factorise 
cafes: faces 
ethological: theological 
chattering: ratcheting 
cheating: teaching 
cleanings: cleansing 
parceling: replacing 
amercing: creaming germanic 
centigram: cremating 
coarsening: ignorances 
cantering: recanting 
cratering: retracing terracing 
catering: creating reacting 
agency: cagney 
cargoes: corsage 
cager: grace 
ache: each 
hatchery: thearchy 
hatchets: thatches 
challie: helical 
empathic: emphatic 
chennai: enchain 
hurricane: raunchier 
achier: archie 
achiest: aitches 
hackles: shackle 
launcher: relaunch 
cholera: chorale 
choleras: chorales 
charles: larches 
chalets: latches satchel 
chattel: latchet 
charmer: marcher 
charmers: marchers 
marches: schmear 
matcher: rematch 
sachem: schema 
sachems: schemas 
chanters: snatcher stancher tranches 
stauncher: unchaster 
chanter: tranche 
chastens: snatches stanches 
staunchest: unchastest 
arthroscopes: crapshooters 
arthroscope: crapshooter 
chorea: horace 
carthorses: orchestras 
carthorse: orchestra 
choreas: roaches 
cheap: peach 
charters: chartres 
arches: chaser 
chasers: crashes 
archest: chaster 
chatters: ratchets 
aches: chase 
cashes: chases chasse 
chaste: cheats sachet scathe scheat 
cheat: teach 
peristaltic: triplicates 
clarities: realistic 
acrimonies: micronesia 
creationisms: romanticises 
creationism: romanticise 
metrications: monetaristic 
interatomic: metrication 
creationist: recitations 
excitations: intoxicates 
excitation: intoxicate 
antipyretic: pertinacity 
creativity: reactivity 
alice: celia ileac 
calumnies: masculine 
claimer: miracle reclaim 
claimers: miracles reclaims 
clematis: climates 
climaxes: exclaims 
climate: metical 
porcelains: porcelains 
neoplastic: pleonastic 
peculations: speculation 
caroline: cornelia 
actionless: coastlines sectionals 
coastline: sectional 
panicle: pelican 
clarinets: larcenist 
epical: plaice 
caliper: replica 
calipers: replicas spiracle 
particle: prelatic 
slipcase: specials 
claire: eclair lacier 
eclairs: scalier 
articles: recitals 
cavilers: claviers visceral 
article: recital 
lucrative: victualer 
caviler: clavier 
elastics: scaliest 
castile: elastic laciest latices 
lattice: tactile 
anemic: cinema iceman 
campesino: companies 
carmine: crimean mercian 
carmines: cremains 
amnesic: cinemas 
amnestic: semantic 
escapism: scampies 
campiest: campsite 
crimea: mercia 
ceramist: matrices 
conservations: conversations 
conservation: conversation 
ascension: canonises 
incessant: instances 
ancients: canniest instance 
incorporates: procreations 
incorporate: procreation 
procaines: proscenia 
creations: reactions 
creation: reaction 
canoeists: cessation 
aconites: canoeist 
carnie: racine 
arsenic: carnies 
arsenics: raciness 
canisters: scenarist 
canister: scantier 
casein: incase 
issuances: sauciness 
cattiness: scantiest tacitness 
scrapie: spacier 
escapist: spaciest 
aseptic: paciest 
carrie: racier 
carries: scarier 
cartier: erratic 
castries: scariest 
cattier: citrate 
sauciest: suitcase 
lackluster: lacklustre 
calker: clarke 
packer: repack 
packers: repacks 
creaks: sacker 
rackets: restack stacker tackers 
racket: tacker 
alec: lace 
collapse: escallop 
collapses: escallops 
caller: cellar 
callers: cellars recalls scleral 
carlyle: clearly 
calmer: carmel marcel 
camels: mescal 
calumets: muscatel 
clean: lance 
carleton: coltrane 
nuclear: unclear 
cleans: lances 
cantle: lancet 
peculators: speculator 
copulates: outplaces 
copulate: outplace 
carole: oracle 
lactose: locates 
alcoves: coevals 
alcove: coeval 
carpel: parcel placer 
carpels: parcels placers scalper 
capsule: specula upscale 
calque: claque 
clare: clear lacer 
clears: sclera 
cartels: clarets scarlet 
recusal: secular 
cartel: claret rectal 
laces: scale 
castle: cleats eclats 
cleat: eclat 
acme: came mace 
cameron: romance 
cameos: camoes 
campers: scamper 
creams: scream 
acmes: maces 
acne: caen cane 
canoe: ocean 
copartner: procreant 
capstone: opencast 
coarsen: corneas 
coarsens: narcoses 
courtesan: nectarous 
canoes: oceans 
octanes: octanes 
caner: carne crane nacre 
caners: cranes nacres 
canters: nectars recants scanter trances 
centaurs: etruscan recusant 
caverns: cravens 
canter: cretan nectar recant trance 
centaur: uncrate 
cavern: craven 
acnes: canes 
ascents: secants stances 
ascent: enacts secant stance 
capote: toecap 
creators: reactors 
creator: reactor 
coarsest: coasters socrates 
overacts: overcast 
avocet: octave 
cape: pace 
crappers: scrapper 
caper: crape pacer 
carpers: scarper scraper 
scarpers: scrapers 
capers: casper crapes pacers parsec recaps scrape spacer 
parsecs: scrapes spacers 
carpets: precast spectra 
capes: paces space 
cuspate: teacups 
acre: care race 
carer: racer 
carers: racers 
carters: craters tracers 
carter: crater tracer 
acres: cares races scare 
caress: scares 
actress: casters recasts 
causers: saucers 
carets: caster caters crates reacts recast traces 
causer: cesura saucer 
carves: cavers craves 
caret: cater crate react recta trace 
acuter: curate 
carve: caver crave 
aces: case 
causes: sauces 
acutes: cuesta 
cause: sauce 
acute: ceuta 
infarctions: infractions 
infarction: infraction 
califs: fiscal 
frantic: infarct 
falcon: flacon 
fluctuant: untactful 
clanging: glancing 
microphotograph: photomicrograph 
algorithmic: logarithmic 
hackings: shacking 
charming: marching 
snatching: stanching 
nightcap: patching 
arching: chagrin 
chagrins: crashing 
cashing: chasing 
auctioning: cautioning 
cogitations: cogitations 
calking: lacking 
arcking: racking 
sackings: sackings 
collapsing: scalloping 
carolling: collaring 
copulating: outplacing 
clasping: placings scalping 
gymnastic: nystagmic 
magics: magics 
canopying: poignancy 
agincourt: outracing 
agnostic: coasting coatings 
scarping: scraping 
arcing: caring racing 
carings: racings scaring 
carvings: cravings 
carting: crating tracing 
carving: craving 
actings: casting 
causing: saucing 
cigar: craig 
congas: gascon 
crags: scrag 
chlorinations: nonhistorical 
christian: christina 
machismos: masochism 
chromatins: monarchist 
chain: china 
chains: chinas 
chariots: haricots 
chariot: haricot 
chairs: sirach 
aitch: chita 
hacks: shack 
calhoun: lanchou 
chorals: scholar 
monarchs: romansch 
macho: mocha 
machos: mochas 
charm: march 
chasm: machs 
cohan: nacho 
anchor: archon charon rancho 
chants: snatch stanch 
canthus: staunch 
chant: natch 
chapt: patch 
arch: char 
chars: crash 
charts: starch 
chat: tach 
cathy: yacht 
coalitionists: solicitations 
coalitionist: solicitation 
cilia: iliac 
colonialists: oscillations 
colonialist: oscillation 
inactions: onanistic toscanini 
catkin: natick 
cali: laic 
optically: topically 
callosity: stoically 
complaint: compliant 
continual: inoculant 
clarion: conrail 
cilantros: contrails 
cilantro: contrail 
alcuin: lucian uncial 
capitol: optical topical 
curial: uracil uralic 
cavils: slavic 
cattily: tacitly 
manioc: monica 
paronymic: pyromanic 
marconi: minorca 
narcotism: romantics 
maniocs: masonic 
cranium: murcian 
mastics: miscast 
cain: inca 
contains: sanction 
caption: pontiac 
caisson: casinos cassino 
caissons: cassinos 
actions: cations 
auctions: cautions 
action: cation 
auction: caution 
actin: antic 
cairo: coria 
carious: curiosa 
capri: carpi 
aspic: picas 
racists: sacrist 
statics: statics 
attics: static 
catsuit: tacitus 
attic: tacit 
calk: lack 
classworks: crosswalks 
classwork: crosswalk 
calks: lacks slack 
macks: smack 
wracks: wracks 
cask: sack 
casks: sacks 
stack: tacks 
caky: yack 
calm: clam 
calms: clams 
coal: cola 
copulas: cupolas 
copula: cupola 
alcor: carol coral 
carlos: carols corals 
coals: colas 
claps: clasp scalp 
clasps: scalps 
crawls: scrawl 
caryl: lycra 
clays: scaly 
clay: lacy 
cam: mac 
corpsman: crampons 
carom: macro 
caroms: macros marcos 
comsat: mascot 
camps: scamp 
cram: marc 
crams: scram 
marcus: sacrum 
cams: macs scam 
camus: musca sumac 
cannot: canton 
canny: nancy 
corona: racoon 
coronas: racoons 
acorns: carson 
cantors: cartons 
cantor: carton contra craton 
cantos: octans 
cans: scan 
canst: cants scant 
cora: orca 
castors: costars 
actors: castor castro costar scrota 
actor: croat 
ascots: coasts 
ascot: coast coats tacos 
cato: coat taco 
carp: crap 
carps: craps scarp scrap 
scarps: scraps 
catsups: catsups 
arc: car 
arcs: cars scar 
crass: scars 
cary: racy 
casts: scats 
acts: cast cats scat 
act: cat 
catt: tact 
caw: wac 
add: dad 
demanded: maddened 
dawdled: waddled 
deranged: gardened 
degrader: regarded regraded 
adhered: redhead 
deadlier: derailed redialed 
pedaled: pleaded 
demander: remanded 
maundered: undreamed 
departed: predated 
depraved: pervaded 
deadest: sedated 
demandingly: maddeningly 
demanding: maddening 
dangled: gladden 
gadder: graded 
dashed: shaded 
dialed: laddie 
dallied: dialled 
dandier: drained 
jaded: jedda 
addle: laded 
dandle: landed 
duodenal: unloaded 
ladder: larded 
ladders: saddler 
dawdler: drawled waddler 
addles: saddle 
dawdles: swaddle waddles 
dawdle: waddle 
damned: demand madden 
demands: maddens 
dander: darned 
sadden: sanded 
daunted: undated 
adored: deodar 
adder: dared dread 
adders: dreads sadder 
edwards: swarded 
edward: warded 
landholdings: landholdings 
dawdling: waddling 
downloads: woodlands 
download: woodland 
adds: dads 
defeaters: federates 
defeater: federate 
redintegrate: reintegrated 
everglade: leveraged 
released: resealed 
enervated: venerated 
departee: repeated 
seaweeds: seaweeds seesawed 
faltered: reflated 
forwardnesses: frowardnesses 
deafer: feared 
deafest: defeats feasted 
gadgetries: raggediest 
raggedest: staggered 
geraldine: realigned 
endearing: grenadine 
grenadines: serenading 
grenadier: rereading 
deprogrammer: reprogrammed 
angered: derange enraged grandee grenade 
gardener: garnered 
deranges: grandees grenades 
dungaree: underage 
agreed: geared 
ragweed: wagered 
dealership: leadership 
dealerships: leaderships leaderships 
hankered: harkened 
swellhead: wellheads 
haltered: lathered 
adhere: header 
adheres: headers sheared 
earthed: hearted 
jeopardies: jeopardise 
emailed: limeade 
derailments: streamlined 
dateline: entailed 
daliesque: equalised 
realised: sidereal 
denominates: emendations 
denominate: emendation 
impersonated: predominates 
amnestied: dementias 
diameters: dreamiest 
estimated: meditates 
pedantries: pedestrian 
pertained: repainted 
reinstated: straitened 
unreadiest: unsteadier 
dearies: readies 
readiest: steadier 
stateside: steadiest 
deviates: sedative 
lemonades: lemonades 
leaden: leaned 
deplane: paneled 
darlene: leander learned 
unaltered: unrelated 
leaped: pealed 
pearled: pleader 
pleaders: relapsed 
parleyed: replayed 
elapsed: pleased sepaled 
petaled: pleated 
dealer: leader 
dealers: leaders 
desalter: treadles 
alerted: altered related treadle 
delayer: layered relayed 
leased: sealed 
dateless: tasseled 
edema: meade medea 
mannered: menander 
demeanor: enamored 
demeanour: enamoured 
amender: meander renamed 
smartened: tradesmen 
pampered: remapped 
reamed: remade 
mastered: streamed 
edemas: seamed 
deane: deena 
deanne: ennead nadene 
andersen: ardennes ensnared 
earned: endear neared 
adventurers: untraversed 
denatures: sauntered 
attender: nattered 
deanery: yearned 
assented: standees 
danseuse: sudanese 
dapperer: prepared 
pederast: predates 
depraves: pervades 
predate: tapered 
deprave: pervade repaved 
dearer: reader reared reread 
readers: rereads 
arrested: retreads serrated 
retread: treader 
erased: seared 
asserted: dearests 
dearest: sedater 
adverse: evaders 
seated: sedate teased 
deaf: fade 
infuriated: unratified 
afield: failed 
deflations: defoliants 
deflation: defoliant 
defiant: fainted 
foaled: loafed 
alfred: flared 
default: faulted 
deafly: flayed 
farmed: framed 
forwardness: frowardness 
afterwords: forwardest 
fared: freda 
drafters: redrafts 
drafter: redraft 
dafter: farted rafted 
defray: frayed 
aged: egad 
deranging: gardening 
regarding: regrading 
ganged: nagged 
dagger: ragged 
gadget: tagged 
disintegration: disorientating 
misaligned: misdealing misleading 
derailing: redialing 
aligned: dealing leading 
pedaling: pleading 
dealings: leadings signaled 
grandiose: organdies organised 
agonised: diagnose 
departing: predating 
depraving: pervading 
grained: reading 
redrawing: rewarding 
gradient: treading 
angled: dangle glenda 
dangler: gnarled 
dangles: glandes 
gerald: glared 
gamed: madge 
deprogram: programed 
danger: gander garden ranged 
gardner: grander 
dangers: ganders gardens 
dragnets: grandest 
dragnet: granted 
dowagers: wordages 
dowager: wordage 
dagoes: dosage 
dotage: togaed 
gaped: paged 
edgar: grade raged 
gerard: grader regard 
graders: regards 
gyrated: tragedy 
degas: egads 
wadge: waged 
hailed: halide 
admonisher: harmonised 
